srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
UTTAR PRADESH,2012-13,2011-12,Constant Price,631686.59,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2012-13,2011-12,Constant Price,18510.9,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2012-13,2011-12,Constant Price,642593.0,2012,"Financial Year (Apr - Mar), 2012"
ASSAM,2012-13,2011-12,Current Price,133784.96,2012,"Financial Year (Apr - Mar), 2012"
SIKKIM,2012-13,2011-12,Constant Price,9630.96,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2012-13,2011-12,Constant Price,389759.17,2012,"Financial Year (Apr - Mar), 2012"
PUNJAB,2012-13,2011-12,Constant Price,236390.91,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2012-13,2011-12,Constant Price,13283.37,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2012-13,2011-12,Current Price,255658.015,2012,"Financial Year (Apr - Mar), 2012"
ORISSA,2012-13,2011-12,Constant Price,204856.5131,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2012-13,2011-12,Constant Price,11062.1463,2012,"Financial Year (Apr - Mar), 2012"
MIZORAM,2012-13,2011-12,Constant Price,6978.59,2012,"Financial Year (Apr - Mar), 2012"
MEGHALAYA,2012-13,2011-12,Constant Price,17278.48,2012,"Financial Year (Apr - Mar), 2012"
GOA,2012-13,2011-12,Current Price,31320.2671,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2012-13,2011-12,Constant Price,11497.9126,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2012-13,2011-12,Constant Price,1045150.84,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2012-13,2011-12,Constant Price,138351.724,2012,"Financial Year (Apr - Mar), 2012"
DELHI,2012-13,2011-12,Constant Price,288497.3631,2012,"Financial Year (Apr - Mar), 2012"
GUJARAT,2012-13,2011-12,Current Price,555231.6827,2012,"Financial Year (Apr - Mar), 2012"
MADHYA PRADESH,2012-13,2011-12,Constant Price,293368.0,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2012-13,2011-12,Constant Price,317277.0755,2012,"Financial Year (Apr - Mar), 2012"
KARNATAKA,2012-13,2011-12,Constant Price,528642.0977,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2012-13,2011-12,Constant Price,136581.99,2012,"Financial Year (Apr - Mar), 2012"
HARYANA,2012-13,2011-12,Current Price,287215.4897,2012,"Financial Year (Apr - Mar), 2012"
JAMMU & KASHMIR,2012-13,2011-12,Constant Price,63546.2527,2012,"Financial Year (Apr - Mar), 2012"
HIMACHAL PRADESH,2012-13,2011-12,Constant Price,61259.9318,2012,"Financial Year (Apr - Mar), 2012"
HARYANA,2012-13,2011-12,Constant Price,262444.8754,2012,"Financial Year (Apr - Mar), 2012"
HIMACHAL PRADESH,2012-13,2011-12,Current Price,65520.8901,2012,"Financial Year (Apr - Mar), 2012"
GUJARAT,2012-13,2011-12,Constant Price,521013.6505,2012,"Financial Year (Apr - Mar), 2012"
GOA,2012-13,2011-12,Constant Price,29424.8505,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2012-13,2011-12,Constant Price,231691.081,2012,"Financial Year (Apr - Mar), 2012"
ASSAM,2012-13,2011-12,Constant Price,124871.05,2012,"Financial Year (Apr - Mar), 2012"
JAMMU & KASHMIR,2012-13,2011-12,Current Price,68948.1792,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2012-13,2011-12,Constant Price,10267.88,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2012-13,2011-12,Constant Price,311720.29,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2012-13,2011-12,Current Price,337698.79,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2012-13,2011-12,Current Price,146407.08,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2012-13,2011-12,Current Price,14580.34,2012,"Financial Year (Apr - Mar), 2012"
DELHI,2012-13,2011-12,Current Price,308600.0092,2012,"Financial Year (Apr - Mar), 2012"
CHANDIGARH,2012-13,2011-12,Current Price,19459.48,2012,"Financial Year (Apr - Mar), 2012"
ANDAMAN & NICOBAR ISLANDS,2012-13,2011-12,Current Price,3874.0987,2012,"Financial Year (Apr - Mar), 2012"
CHANDIGARH,2012-13,2011-12,Constant Price,18263.15,2012,"Financial Year (Apr - Mar), 2012"
KARNATAKA,2012-13,2011-12,Current Price,572068.7125,2012,"Financial Year (Apr - Mar), 2012"
WEST BENGAL,2012-13,2011-12,Current Price,514265.0,2012,"Financial Year (Apr - Mar), 2012"
UTTARAKHAND,2012-13,2011-12,Current Price,109177.0,2012,"Financial Year (Apr - Mar), 2012"
UTTAR PRADESH,2012-13,2011-12,Current Price,687807.98,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2012-13,2011-12,Current Price,340353.9937,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2012-13,2011-12,Current Price,19257.32,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2012-13,2011-12,Current Price,698241.44,2012,"Financial Year (Apr - Mar), 2012"
SIKKIM,2012-13,2011-12,Current Price,10445.75,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2012-13,2011-12,Current Price,424894.26,2012,"Financial Year (Apr - Mar), 2012"
ANDAMAN & NICOBAR ISLANDS,2012-13,2011-12,Constant Price,3633.7212,2012,"Financial Year (Apr - Mar), 2012"
MADHYA PRADESH,2012-13,2011-12,Current Price,319431.0,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2013-14,2011-12,Constant Price,20149.84,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2013-14,2011-12,Current Price,150546.56,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2013-14,2011-12,Current Price,281726.8134,2013,"Financial Year (Apr - Mar), 2013"
GOA,2013-14,2011-12,Current Price,28145.2943,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2013-14,2011-12,Current Price,620915.7173,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2013-14,2011-12,Current Price,330495.0591,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2013-14,2011-12,Current Price,74722.292,2013,"Financial Year (Apr - Mar), 2013"
JAMMU & KASHMIR,2013-14,2011-12,Current Price,74694.6535,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2013-14,2011-12,Current Price,155996.0,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2013-14,2011-12,Current Price,670276.3305,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2013-14,2011-12,Current Price,381324.0528,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2013-14,2011-12,Current Price,370441.0,2013,"Financial Year (Apr - Mar), 2013"
CHHATTISGARH,2013-14,2011-12,Current Price,174643.44,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2013-14,2011-12,Current Price,1268041.067,2013,"Financial Year (Apr - Mar), 2013"
MANIPUR,2013-14,2011-12,Current Price,14097.0666,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2013-14,2011-12,Current Price,19320.5814,2013,"Financial Year (Apr - Mar), 2013"
MIZORAM,2013-14,2011-12,Current Price,8829.5949,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2013-14,2011-12,Current Price,14354.0964,2013,"Financial Year (Apr - Mar), 2013"
