srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
UTTAR PRADESH,2011-12,2012-13,Constant Prices,32907.89,2012,"Financial Year (Apr - Mar), 2012"
JAMMU & KASHMIR,2011-12,2012-13,Current Prices,56828.40,2012,"Financial Year (Apr - Mar), 2012"
PUNJAB,2011-12,2012-13,Current Prices,94318.00,2012,"Financial Year (Apr - Mar), 2012"
UTTARAKHAND,2011-12,2012-13,Constant Prices,106358.70,2012,"Financial Year (Apr - Mar), 2012"
SIKKIM,2011-12,2012-13,Current Prices,174183.00,2012,"Financial Year (Apr - Mar), 2012"
HARYANA,2011-12,2012-13,Constant Prices,111780.04,2012,"Financial Year (Apr - Mar), 2012"
PUNJAB,2011-12,2012-13,Constant Prices,88915.00,2012,"Financial Year (Apr - Mar), 2012"
ASSAM,2011-12,2012-13,Current Prices,44599.18,2012,"Financial Year (Apr - Mar), 2012"
DELHI,2011-12,2012-13,Current Prices,205567.76,2012,"Financial Year (Apr - Mar), 2012"
ORISSA,2011-12,2012-13,Current Prices,55104.51,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2011-12,2013-14,Constant Prices,102191.00,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2011-12,2013-14,Constant Prices,22776.43,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2011-12,2013-14,Current Prices,65118.13,2013,"Financial Year (Apr - Mar), 2013"
DELHI,2011-12,2013-14,Current Prices,227899.69,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2011-12,2013-14,Current Prices,194624.00,2013,"Financial Year (Apr - Mar), 2013"
ANDAMAN & NICOBAR ISLANDS,2011-12,2013-14,Constant Prices,98735.45,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2011-12,2013-14,Current Prices,123387.70,2013,"Financial Year (Apr - Mar), 2013"
CHHATTISGARH,2011-12,2013-14,Constant Prices,61408.63,2013,"Financial Year (Apr - Mar), 2013"
